2022-11-12 00:19:44.976 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.976 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: shoppingcart-service
2022-11-12 00:19:44.976 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying {_genkey_0=/api/auth/**} to Path
2022-11-12 00:19:44.976 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.976 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: auth-service
2022-11-12 00:19:44.976 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying {_genkey_0=/api/search/**} to Path
2022-11-12 00:19:44.977 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.977 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: search-service
2022-11-12 00:19:44.977 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying {_genkey_0=/api/product/**} to Path
2022-11-12 00:19:44.977 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.977 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: product
2022-11-12 00:19:44.977 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying {_genkey_0=/api/coupon/**} to Path
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: coupon
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying {_genkey_0=/api/member/**} to Path
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: member
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying {_genkey_0=/api/order/**} to Path
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: order
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying {_genkey_0=/api/ware/**} to Path
2022-11-12 00:19:44.978 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.980 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: ware
2022-11-12 00:19:44.980 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying {_genkey_0=/api/oss/**} to Path
2022-11-12 00:19:44.980 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.980 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: oss
2022-11-12 00:19:44.980 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying {_genkey_0=/api/**} to Path
2022-11-12 00:19:44.980 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:19:44.980 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: renren-fast
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying {_genkey_0=/api/payment/**} to Path
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: payment-service
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying {_genkey_0=/api/shoppingcart/**} to Path
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: shoppingcart-service
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying {_genkey_0=/api/auth/**} to Path
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: auth-service
2022-11-12 00:20:14.991 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying {_genkey_0=/api/search/**} to Path
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: search-service
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying {_genkey_0=/api/product/**} to Path
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: product
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying {_genkey_0=/api/coupon/**} to Path
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: coupon
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying {_genkey_0=/api/member/**} to Path
2022-11-12 00:20:14.992 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: member
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying {_genkey_0=/api/order/**} to Path
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: order
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying {_genkey_0=/api/ware/**} to Path
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: ware
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying {_genkey_0=/api/oss/**} to Path
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: oss
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying {_genkey_0=/api/**} to Path
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:14.993 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: renren-fast
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying {_genkey_0=/api/payment/**} to Path
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: payment-service
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying {_genkey_0=/api/shoppingcart/**} to Path
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: shoppingcart-service
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying {_genkey_0=/api/auth/**} to Path
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: auth-service
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying {_genkey_0=/api/search/**} to Path
2022-11-12 00:20:45.004 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: search-service
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying {_genkey_0=/api/product/**} to Path
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: product
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying {_genkey_0=/api/coupon/**} to Path
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: coupon
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying {_genkey_0=/api/member/**} to Path
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: member
2022-11-12 00:20:45.005 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying {_genkey_0=/api/order/**} to Path
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition order applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: order
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying {_genkey_0=/api/ware/**} to Path
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition ware applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: ware
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying {_genkey_0=/api/oss/**} to Path
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition oss applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: oss
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying {_genkey_0=/api/**} to Path
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition renren-fast applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:20:45.006 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: renren-fast
2022-11-12 00:21:15.009 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying {_genkey_0=/api/payment/**} to Path
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition payment-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: payment-service
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying {_genkey_0=/api/shoppingcart/**} to Path
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition shoppingcart-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: shoppingcart-service
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying {_genkey_0=/api/auth/**} to Path
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition auth-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: auth-service
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying {_genkey_0=/api/search/**} to Path
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition search-service applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: search-service
2022-11-12 00:21:15.010 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying {_genkey_0=/api/product/**} to Path
2022-11-12 00:21:15.011 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition product applying filter {_genkey_0=/api(?<path>.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:21:15.011 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: product
2022-11-12 00:21:15.011 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying {_genkey_0=/api/coupon/**} to Path
2022-11-12 00:21:15.011 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition coupon applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
2022-11-12 00:21:15.011 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition matched: coupon
2022-11-12 00:21:15.011 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying {_genkey_0=/api/member/**} to Path
2022-11-12 00:21:15.012 DEBUG 6148 --- [ThreadPoolTaskScheduler-1] o.s.c.g.r.RouteDefinitionRouteLocator    : RouteDefinition member applying filter {_genkey_0=/api(?<path>/?.*), _genkey_1=$\{path}} to RewritePath
